"Sighting_ID","Observer_ID","Date","Time","Site_Code","Latitude","Longitude","Species_Common","Species_Code","Status","Band_Color","Tag_Flag","Bird_ID","Distance_m","Age_Class","Age_Code","Sex","Sex_Code","Release_Year","Release_Cohort"
"S000012","O10",2025-06-19,"10:15","LC",43.5777,-116.17821,"Red-winged Blackbird","RWBL","Wild Hatch","None",0,NA,34.7,"Hatch-year",1,"M",2,NA,NA
"S000013","O07",2025-06-25,"10:33","NP",43.65374,-116.17096,"Asterfall Reedlark","ARLK","Wild Hatch","None",0,NA,36,"Hatch-year",1,NA,NA,NA,NA
"S000014","O09",2025-06-24,"06:49","MR",43.62202,-116.25085,"Asterfall Reedlark","ARLK","Wild Hatch","None",0,NA,100,"Adult",3,"M",2,NA,NA
"S000015","O01",2025-05-11,"06:10","SR",43.56984,-116.21878,"Asterfall Reedlark","ARLK","Wild Hatch","None",0,NA,46.5,"Adult",3,"M",2,NA,NA
"S000016","O08",2025-04-19,"05:15","BR",43.60549,-116.19926,"Asterfall Reedlark","ARLK","Wild Hatch","None",0,NA,72.4,"Adult",3,"M",2,NA,NA
"S000017","O07",2025-06-28,"05:41","BR",43.62273,-116.21162,"Song Sparrow","SOSP","Wild Hatch","None",0,NA,82.7,"Unknown",99,"F",1,NA,NA
"S000018","O04",2025-04-25,"07:43","BR",43.60476,-116.211,"Asterfall Reedlark","ARLK","Reintroduced","Green",1,"B34007",82.6,"Hatch-year",1,"M",2,2025,"H2025_R2025"
"S000019","O01",2025-06-25,"10:35","WC",43.60847,-116.17758,"Asterfall Reedlark","ARLK","Wild Hatch","None",0,NA,NA,"Adult",3,"F",1,NA,NA
"S000020","O04",2025-04-19,"07:33","BR",43.6151,-116.21973,"Asterfall Reedlark","ARLK","Wild Hatch","None",0,NA,27.1,"Hatch-year",1,NA,NA,NA,NA
"S000021","O02",2025-04-21,"07:18","BR",43.60989,-116.20285,"Asterfall Reedlark","ARLK","Wild Hatch","None",0,NA,88.6,"Adult",3,"F",1,NA,NA
"S000022","O02",2025-05-11,"05:24","MR",43.6461,-116.23329,"Asterfall Reedlark","ARLK","Reintroduced","Green",1,"B24490",98.6,"Hatch-year",1,"M",2,2025,"H2025_R2025"
"S000023","O01",2025-04-16,"06:13","SR",43.55731,-116.21321,"Song Sparrow","SOSP","Wild Hatch","None",0,NA,99.2,"Adult",3,"M",2,NA,NA
"S000024","O12",2025-05-10,"07:16","NP",43.6534,-116.1578,"Asterfall Reedlark","ARLK","Wild Hatch","None",0,NA,79.7,"Adult",3,"M",2,NA,NA
"S000025","O09",2025-06-05,"05:58","BR",43.6203,-116.20021,"Red-winged Blackbird","RWBL","Wild Hatch","None",0,NA,63.8,"Adult",3,NA,NA,NA,NA
"S000026","O09",2025-04-24,"07:07","SR",43.55415,-116.22052,"Asterfall Reedlark","ARLK","Wild Hatch","None",0,NA,12.9,"Hatch-year",1,NA,NA,NA,NA
"S000027","O09",2025-04-09,"08:20","WC",43.62081,-116.18694,"Asterfall Reedlark","ARLK","Wild Hatch","None",0,NA,63.8,"Second-year",2,"F",1,NA,NA
"S000028","O09",2025-07-27,"06:44","MR",43.65361,-116.24218,"Asterfall Reedlark","ARLK","Wild Hatch","None",0,NA,36.2,"Adult",3,"F",1,NA,NA
"S000029","O05",2025-04-03,"07:41","MR",43.6368,-116.2291,"Asterfall Reedlark","ARLK","Wild Hatch","None",0,NA,56.1,"Second-year",2,"M",2,NA,NA
"S000030","O12",2025-04-07,"10:52","LC",43.57235,-116.17256,"Asterfall Reedlark","ARLK","Wild Hatch","None",0,NA,NA,"Hatch-year",1,"F",1,NA,NA
"S000031","O11",2025-05-15,"07:42","MR",43.63723,-116.23497,"Asterfall Reedlark","ARLK","Reintroduced","Green",1,"B84400",23,"Hatch-year",1,"F",1,2025,"H2025_R2025"
"S000032","O04",2025-06-10,"08:58","MR",43.64368,-116.24274,"Asterfall Reedlark","ARLK","Wild Hatch","None",0,NA,19.3,"Adult",3,"F",1,NA,NA
"S000033","O11",2025-07-02,"05:25","LC",43.57101,-116.18814,"Asterfall Reedlark","ARLK","Wild Hatch","None",0,NA,117.9,"Adult",3,"M",2,NA,NA
"S000034","O07",2025-05-22,"08:14","BR",43.60317,-116.20702,"Asterfall Reedlark","ARLK","Wild Hatch","None",0,NA,103.1,"Adult",3,"M",2,NA,NA
"S000035","O04",2025-07-19,"09:50","SR",43.56748,-116.22126,"Asterfall Reedlark","ARLK","Wild Hatch","None",0,NA,46.5,"Unknown",99,"F",1,NA,NA
"S000036","O12",2025-05-16,"05:42","BR",43.62254,-116.2108,"Asterfall Reedlark","ARLK","Wild Hatch","None",0,NA,31.1,"Second-year",2,"M",2,NA,NA
"S000037","O01",2025-06-20,"06:08","SR",43.55419,-116.21692,"Asterfall Reedlark","ARLK","Wild Hatch","None",0,NA,67.5,"Unknown",99,"M",2,NA,NA
"S000038","O04",2025-07-14,"07:25","NP",43.64882,-116.1592,"Asterfall Reedlark","ARLK","Wild Hatch","None",0,NA,71.9,"Unknown",99,"M",2,NA,NA
"S000039","O06",2025-07-18,"05:54","MR",43.63119,-116.24635,"Asterfall Reedlark","ARLK","Wild Hatch","None",0,NA,14.1,"Hatch-year",1,"F",1,NA,NA
"S000040","O05",2025-04-01,"06:37","BR",43.60712,-116.21288,"Asterfall Reedlark","ARLK","Wild Hatch","None",0,NA,40.6,"Adult",3,"F",1,NA,NA
"S000041","O08",2025-05-08,"07:50","NP",43.67415,-116.16643,"Song Sparrow","SOSP","Reintroduced","Green",1,"B45605",38.5,"Hatch-year",1,NA,NA,2025,"H2025_R2025"
"S000042","O07",2025-06-19,"07:18","MR",43.64736,-116.2479,"Asterfall Reedlark","ARLK","Wild Hatch","None",0,NA,59,"Adult",3,NA,NA,NA,NA
"S000043","O09",2025-04-01,"06:04","BR",43.61632,-116.19606,"Asterfall Reedlark","ARLK","Wild Hatch","None",0,NA,51,"Adult",3,"F",1,NA,NA
"S000044","O09",2025-06-14,"06:15","WC",43.63026,-116.19138,"Asterfall Reedlark","ARLK","Wild Hatch","None",0,NA,7.8,"Hatch-year",1,"F",1,NA,NA
"S000045","O06",2025-07-03,"06:39","SR",43.55902,-116.22247,"American Robin","AMRO","Wild Hatch","None",0,NA,55.5,"Hatch-year",1,"F",1,NA,NA
"S000046","O09",2025-05-30,"09:09","BR",43.62136,-116.21255,"Asterfall Reedlark","ARLK","Wild Hatch","None",0,NA,17.9,"Adult",3,"M",2,NA,NA
"S000047","O02",2025-06-09,"06:02","SR",43.56291,-116.21362,"Asterfall Reedlark","ARLK","Wild Hatch","None",0,NA,106.4,"Hatch-year",1,"M",2,NA,NA
"S000048","O11",2025-07-28,"05:51","MR",43.63935,-116.24388,"Song Sparrow","SOSP","Wild Hatch","None",0,NA,85.3,"Second-year",2,"F",1,NA,NA
"S000049","O07",2025-06-27,"10:13","MR",43.62243,-116.23914,"Asterfall Reedlark","ARLK","Wild Hatch","None",0,NA,36.5,"Hatch-year",1,NA,NA,NA,NA
"S000050","O03",2025-06-18,"09:04","LC",43.57298,-116.17631,"Asterfall Reedlark","ARLK","Reintroduced","Green",1,"B45917",61.1,"Hatch-year",1,"F",1,2025,"H2025_R2025"
"S000051","O07",2025-05-22,"08:15","WC",43.60775,-116.19081,"Asterfall Reedlark","ARLK","Wild Hatch","None",0,NA,53.7,"Second-year",2,"M",2,NA,NA
"S000052","O11",2025-04-21,"08:54","BR",43.60646,-116.20649,"Asterfall Reedlark","ARLK","Wild Hatch","None",0,NA,65,"Hatch-year",1,"F",1,NA,NA
"S000053","O09",2025-07-23,"07:15","BR",43.61451,-116.21726,"Asterfall Reedlark","ARLK","Wild Hatch","None",0,NA,67.4,"Second-year",2,"F",1,NA,NA
"S000054","O05",2025-05-25,"05:43","MR",43.65315,-116.24692,"Asterfall Reedlark","ARLK","Wild Hatch","None",0,NA,5.3,"Second-year",2,"F",1,NA,NA
"S000055","O05",2025-06-29,"08:57","BR",43.60763,-116.21943,"Asterfall Reedlark","ARLK","Wild Hatch","None",0,NA,27.5,"Adult",3,NA,NA,NA,NA
"S000056","O06",2025-06-14,"05:01","BR",43.60748,-116.2095,"Asterfall Reedlark","ARLK","Wild Hatch","None",0,NA,20,"Adult",3,"M",2,NA,NA
"S000057","O02",2025-06-25,"07:42","MR",43.63088,-116.25667,"Asterfall Reedlark","ARLK","Wild Hatch","None",0,NA,7.7,"Second-year",2,"F",1,NA,NA
"S000058","O10",2025-06-07,"09:41","BR",43.61589,-116.20551,"Asterfall Reedlark","ARLK","Wild Hatch","None",0,NA,102.9,"Second-year",2,"F",1,NA,NA
"S000059","O10",2025-07-03,"08:31","NP",43.66574,-116.15735,"Asterfall Reedlark","ARLK","Wild Hatch","None",0,NA,43,"Hatch-year",1,"F",1,NA,NA
"S000060","O08",2025-04-19,"08:20","MR",43.64713,-116.23029,"Song Sparrow","SOSP","Wild Hatch","None",0,NA,70,"Adult",3,NA,NA,NA,NA
"S000061","O08",2025-04-10,"09:53","BR",43.60046,-116.21892,"Asterfall Reedlark","ARLK","Wild Hatch","None",0,NA,13.7,"Adult",3,NA,NA,NA,NA
"S000062","O04",2025-07-10,"06:33","MR",43.64056,-116.24987,"Asterfall Reedlark","ARLK","Wild Hatch","None",0,NA,29.2,"Second-year",2,"F",1,NA,NA
"S000063","O08",2025-05-19,"05:04","MR",43.63813,-116.2394,"Red-winged Blackbird","RWBL","Wild Hatch","None",0,NA,8.5,"Hatch-year",1,"M",2,NA,NA
"S000064","O02",2025-06-13,"07:46","WC",43.62562,-116.19266,"Asterfall Reedlark","ARLK","Wild Hatch","None",0,NA,39,"Adult",3,"F",1,NA,NA
"S000065","O02",2025-07-12,"06:08","WC",43.6187,-116.18523,"Asterfall Reedlark","ARLK","Wild Hatch","None",0,NA,93.6,"Second-year",2,"M",2,NA,NA
"S000066","O03",2025-06-05,"09:54","NP",43.65533,-116.1479,"Asterfall Reedlark","ARLK","Reintroduced","Green",1,"B67288",19.4,"Hatch-year",1,"F",1,2025,"H2025_R2025"
"S000067","O04",2025-06-12,"08:20","WC",43.62705,-116.18715,"Asterfall Reedlark","ARLK","Wild Hatch","None",0,NA,8.6,"Hatch-year",1,NA,NA,NA,NA
"S000068","O04",2025-07-10,"05:38","SR",43.57843,-116.2326,"Asterfall Reedlark","ARLK","Wild Hatch","None",0,NA,119.6,"Adult",3,NA,NA,NA,NA
"S000069","O11",2025-05-18,"10:48","NP",43.66504,-116.16581,"Song Sparrow","SOSP","Reintroduced","Blue",1,"B19397",97.7,"Second-year",2,"F",1,2025,"H2024_R2025"
"S000070","O01",2025-05-08,"06:13","LC",43.59127,-116.1767,"Asterfall Reedlark","ARLK","Wild Hatch","None",0,NA,105.2,"Unknown",99,"F",1,NA,NA
"S000071","O12",2025-06-25,"08:07","SR",43.5676,-116.2362,"Asterfall Reedlark","ARLK","Wild Hatch","None",0,NA,36.9,"Hatch-year",1,"F",1,NA,NA
"S000072","O11",2025-07-25,"10:22","SR",43.54708,-116.22091,"Song Sparrow","SOSP","Wild Hatch","None",0,NA,6.3,"Adult",3,"F",1,NA,NA
"S000073","O11",2025-04-10,"06:53","WC",43.62964,-116.19613,"Asterfall Reedlark","ARLK","Reintroduced","Green",1,"B68548",87.4,"Hatch-year",1,"F",1,2025,"H2025_R2025"
"S000074","O07",2025-06-12,"05:14","LC",43.5857,-116.17514,"Asterfall Reedlark","ARLK","Wild Hatch","None",0,NA,21.5,"Adult",3,"M",2,NA,NA
"S000075","O03",2025-04-08,"06:08","BR",43.61787,-116.21263,"Asterfall Reedlark","ARLK","Wild Hatch","None",0,NA,38.4,"Hatch-year",1,"F",1,NA,NA
"S000076","O10",2025-04-04,"07:12","WC",43.61573,-116.19757,"Asterfall Reedlark","ARLK","Wild Hatch","None",0,NA,11.1,"Adult",3,"M",2,NA,NA
"S000077","O02",2025-06-16,"08:49","BR",43.59301,-116.21624,"Asterfall Reedlark","ARLK","Wild Hatch","None",0,NA,29,"Unknown",99,"F",1,NA,NA
"S000078","O01",2025-05-08,"07:58","SR",43.56883,-116.23099,"Asterfall Reedlark","ARLK","Wild Hatch","None",0,NA,84,"Adult",3,"F",1,NA,NA
"S000079","O02",2025-07-09,"05:02","SR",43.56177,-116.2131,"Asterfall Reedlark","ARLK","Wild Hatch","None",0,NA,48,"Adult",3,"F",1,NA,NA
"S000080","O01",2025-06-16,"08:10","LC",43.58435,-116.17842,"Asterfall Reedlark","ARLK","Wild Hatch","None",0,NA,58.1,"Hatch-year",1,"F",1,NA,NA
"S000081","O06",2025-05-25,"05:16","LC",43.58207,-116.16955,"Asterfall Reedlark","ARLK","Wild Hatch","None",0,NA,38.2,"Hatch-year",1,"F",1,NA,NA
"S000082","O03",2025-05-03,"06:15","NP",43.66702,-116.16525,"Red-winged Blackbird","RWBL","Wild Hatch","None",0,NA,117.6,"Second-year",2,"M",2,NA,NA
"S000083","O05",2025-05-01,"06:44","MR",43.64958,-116.249,"Asterfall Reedlark","ARLK","Wild Hatch","None",0,NA,97.9,"Second-year",2,"M",2,NA,NA
"S000084","O11",2025-04-19,"05:17","WC",43.61501,-116.18867,"Asterfall Reedlark","ARLK","Reintroduced","Green",1,"B34007",79.5,"Hatch-year",1,"F",1,2025,"H2025_R2025"
"S000085","O04",2025-06-21,"09:54","NP",43.65794,-116.16057,"Red-winged Blackbird","RWBL","Wild Hatch","None",0,NA,57.7,"Adult",3,"F",1,NA,NA
"S000086","O05",2025-06-04,"07:26","LC",43.57773,-116.17835,"Asterfall Reedlark","ARLK","Wild Hatch","None",0,NA,8.5,"Adult",3,"M",2,NA,NA
"S000087","O12",2025-04-05,"07:52","SR",43.55785,-116.22824,"Asterfall Reedlark","ARLK","Wild Hatch","None",0,NA,72.1,"Adult",3,NA,NA,NA,NA
"S000088","O12",2025-04-15,"07:00","WC",43.61809,-116.19687,"Asterfall Reedlark","ARLK","Wild Hatch","None",0,NA,11.6,"Second-year",2,NA,NA,NA,NA
"S000089","O06",2025-07-14,"09:03","SR",43.55284,-116.2247,"Asterfall Reedlark","ARLK","Wild Hatch","None",0,NA,98,"Adult",3,"F",1,NA,NA
"S000090","O12",2025-07-28,"08:03","NP",43.66206,-116.15132,"Asterfall Reedlark","ARLK","Wild Hatch","None",0,NA,110.6,"Adult",3,"F",1,NA,NA
"S000091","O11",2025-07-17,"10:02","BR",43.60668,-116.2034,"Asterfall Reedlark","ARLK","Wild Hatch","None",0,NA,52.5,"Hatch-year",1,"F",1,NA,NA
"S000092","O07",2025-05-04,"09:47","WC",43.61538,-116.1951,"Asterfall Reedlark","ARLK","Wild Hatch","None",0,NA,54.1,"Adult",3,"M",2,NA,NA
"S000093","O04",2025-06-11,"07:48","WC",43.6276,-116.19059,"Asterfall Reedlark","ARLK","Wild Hatch","None",0,NA,23.8,"Hatch-year",1,"M",2,NA,NA
"S000094","O09",2025-06-05,"06:51","WC",43.61594,-116.18635,"Song Sparrow","SOSP","Wild Hatch","None",0,NA,56.2,"Hatch-year",1,NA,NA,NA,NA
"S000095","O01",2025-04-29,"10:55","WC",43.62444,-116.1811,"Song Sparrow","SOSP","Wild Hatch","None",0,NA,102.3,"Adult",3,"F",1,NA,NA
"S000096","O08",2025-04-04,"05:55","LC",43.5833,-116.18379,"Asterfall Reedlark","ARLK","Wild Hatch","None",0,NA,31.2,"Adult",3,"F",1,NA,NA
"S000097","O03",2025-06-28,"09:56","LC",43.58605,-116.16785,"Asterfall Reedlark","ARLK","Wild Hatch","None",0,NA,118.3,"Adult",3,"F",1,NA,NA
"S000098","O07",2025-06-30,"08:51","SR",43.56982,-116.22655,"Asterfall Reedlark","ARLK","Reintroduced","Silver",1,"B85974",40.5,"Adult",3,"F",1,2024,"H2023_R2024"
"S000099","O12",2025-05-22,"07:45","SR",43.54805,-116.22294,"Asterfall Reedlark","ARLK","Wild Hatch","None",0,NA,108.1,"Adult",3,"M",2,NA,NA
"S000100","O11",2025-06-02,"10:22","MR",43.64592,-116.24444,"Red-winged Blackbird","RWBL","Wild Hatch","None",0,NA,76.1,"Hatch-year",1,NA,NA,NA,NA
"S000101","O01",2025-05-03,"06:47","MR",43.63309,-116.23962,"Asterfall Reedlark","ARLK","Wild Hatch","None",0,NA,6.8,"Adult",3,"F",1,NA,NA
"S000102","O08",2025-06-03,"08:33","SR",43.56069,-116.22099,"Asterfall Reedlark","ARLK","Wild Hatch","None",0,NA,6.7,"Adult",3,"F",1,NA,NA
"S000103","O01",2025-07-18,"05:31","LC",43.59335,-116.17864,"Asterfall Reedlark","ARLK","Wild Hatch","None",0,NA,76.2,"Adult",3,"F",1,NA,NA
"S000104","O01",2025-06-03,"08:06","NP",43.64812,-116.15041,"Asterfall Reedlark","ARLK","Wild Hatch","None",0,NA,16,"Hatch-year",1,NA,NA,NA,NA
"S000105","O04",2025-04-30,"10:05","BR",43.6201,-116.21022,"Asterfall Reedlark","ARLK","Wild Hatch","None",0,NA,21.6,"Hatch-year",1,"M",2,NA,NA
"S000106","O11",2025-05-06,"08:01","NP",43.65384,-116.16933,"Asterfall Reedlark","ARLK","Wild Hatch","None",0,NA,96.9,"Second-year",2,"M",2,NA,NA
"S000107","O08",2025-06-09,"10:05","WC",43.62262,-116.19225,"Song Sparrow","SOSP","Wild Hatch","None",0,NA,22.1,"Hatch-year",1,NA,NA,NA,NA
"S000108","O05",2025-06-16,"07:12","MR",43.65823,-116.24589,"Asterfall Reedlark","ARLK","Wild Hatch","None",0,NA,20.1,"Adult",3,"M",2,NA,NA
"S000109","O10",2025-05-02,"06:04","BR",43.6294,-116.20256,"Song Sparrow","SOSP","Wild Hatch","None",0,NA,60.2,"Unknown",99,"F",1,NA,NA
"S000110","O12",2025-06-23,"07:35","LC",43.575,-116.18031,"Asterfall Reedlark","ARLK","Wild Hatch","None",0,NA,87.8,"Adult",3,"M",2,NA,NA
"S000111","O08",2025-07-13,"09:52","SR",43.55644,-116.22197,"Asterfall Reedlark","ARLK","Wild Hatch","None",0,NA,119.2,"Adult",3,"F",1,NA,NA
"S000112","O02",2025-05-13,"08:01","NP",43.65945,-116.15653,"Asterfall Reedlark","ARLK","Wild Hatch","None",0,NA,33.4,"Hatch-year",1,"F",1,NA,NA
"S000113","O01",2025-07-27,"06:49","BR",43.61823,-116.20011,"Asterfall Reedlark","ARLK","Wild Hatch","None",0,NA,86,"Unknown",99,NA,NA,NA,NA
"S000114","O07",2025-05-26,"08:36","WC",43.61605,-116.19191,"Red-winged Blackbird","RWBL","Wild Hatch","None",0,NA,53.7,"Hatch-year",1,"F",1,NA,NA
"S000115","O08",2025-05-06,"10:13","NP",43.64255,-116.1702,"Asterfall Reedlark","ARLK","Wild Hatch","None",0,NA,56.3,"Adult",3,NA,NA,NA,NA
"S000116","O03",2025-06-04,"08:57","WC",43.61136,-116.20347,"Asterfall Reedlark","ARLK","Wild Hatch","None",0,NA,32.8,"Hatch-year",1,"M",2,NA,NA
"S000117","O01",2025-04-14,"10:17","NP",43.67925,-116.17462,"Asterfall Reedlark","ARLK","Wild Hatch","None",0,NA,23.2,"Second-year",2,"M",2,NA,NA
"S000118","O11",2025-06-21,"10:17","WC",43.61394,-116.17984,"Asterfall Reedlark","ARLK","Wild Hatch","None",0,NA,100.9,"Adult",3,"F",1,NA,NA
"S000119","O11",2025-06-13,"05:49","WC",43.61738,-116.18209,"Asterfall Reedlark","ARLK","Wild Hatch","None",0,NA,9.5,"Hatch-year",1,"F",1,NA,NA
"S000120","O01",2025-06-15,"09:32","WC",43.61383,-116.18291,"Asterfall Reedlark","ARLK","Wild Hatch","None",0,NA,106,"Adult",3,NA,NA,NA,NA
"S000121","O09",2025-06-04,"09:21","MR",43.65765,-116.24419,"Song Sparrow","SOSP","Wild Hatch","None",0,NA,12.9,"Adult",3,"M",2,NA,NA
"S000122","O11",2025-05-04,"10:32","MR",43.64564,-116.23437,"Song Sparrow","SOSP","Wild Hatch","None",0,NA,53.2,"Hatch-year",1,"M",2,NA,NA
"S000123","O03",2025-06-19,"06:09","NP",43.66691,-116.18066,"Asterfall Reedlark","ARLK","Wild Hatch","None",0,NA,11.9,"Second-year",2,"F",1,NA,NA
"S000124","O05",2025-04-14,"09:35","WC",43.61847,-116.19281,"Asterfall Reedlark","ARLK","Wild Hatch","None",0,NA,18,"Adult",3,"F",1,NA,NA
"S000125","O02",2025-07-14,"09:23","NP",43.67949,-116.15384,"Song Sparrow","SOSP","Wild Hatch","None",0,NA,84.1,"Second-year",2,"M",2,NA,NA
"S000126","O09",2025-05-31,"05:29","BR",43.61069,-116.22017,"Asterfall Reedlark","ARLK","Wild Hatch","None",0,NA,9.9,"Second-year",2,"M",2,NA,NA
"S000127","O03",2025-05-26,"06:10","NP",43.65727,-116.15269,"Song Sparrow","SOSP","Wild Hatch","None",0,NA,116.2,"Adult",3,"F",1,NA,NA
"S000128","O03",2025-05-27,"10:25","NP",43.6631,-116.16803,"Asterfall Reedlark","ARLK","Wild Hatch","None",0,NA,109.6,"Hatch-year",1,"F",1,NA,NA
"S000129","O03",2025-04-16,"06:49","WC",43.62591,-116.18665,"Song Sparrow","SOSP","Wild Hatch","None",0,NA,6.2,"Adult",3,"F",1,NA,NA
"S000130","O06",2025-05-03,"05:32","LC",43.57962,-116.16555,"Asterfall Reedlark","ARLK","Wild Hatch","None",0,NA,15.3,"Hatch-year",1,NA,NA,NA,NA
"S000131","O04",2025-07-17,"07:47","MR",43.63145,-116.21777,"Asterfall Reedlark","ARLK","Wild Hatch","None",0,NA,113.3,"Second-year",2,"M",2,NA,NA
"S000132","O11",2025-06-15,"05:02","BR",43.61644,-116.21111,"Asterfall Reedlark","ARLK","Wild Hatch","None",0,NA,80.5,"Hatch-year",1,"F",1,NA,NA
"S000133","O04",2025-06-25,"09:43","LC",43.58549,-116.19681,"Asterfall Reedlark","ARLK","Wild Hatch","None",0,NA,104.2,"Hatch-year",1,"M",2,NA,NA
"S000134","O08",2025-05-22,"07:59","LC",43.57096,-116.17305,"American Robin","AMRO","Wild Hatch","None",0,NA,11.9,"Hatch-year",1,"F",1,NA,NA
"S000135","O04",2025-06-10,"05:04","MR",43.63465,-116.24623,"Asterfall Reedlark","ARLK","Wild Hatch","None",0,NA,98.7,"Hatch-year",1,"F",1,NA,NA
"S000136","O01",2025-05-18,"08:35","SR",43.56193,-116.20534,"Red-winged Blackbird","RWBL","Wild Hatch","None",0,NA,78.5,"Hatch-year",1,"M",2,NA,NA
"S000137","O07",2025-04-15,"08:05","WC",43.61682,-116.19393,"Asterfall Reedlark","ARLK","Wild Hatch","None",0,NA,102.8,"Adult",3,NA,NA,NA,NA
"S000138","O11",2025-07-17,"09:35","BR",43.61162,-116.21959,"Asterfall Reedlark","ARLK","Wild Hatch","None",0,NA,103.9,"Unknown",99,"F",1,NA,NA
"S000139","O10",2025-07-08,"10:10","MR",43.63145,-116.24632,"Asterfall Reedlark","ARLK","Wild Hatch","None",0,NA,18.3,"Second-year",2,"M",2,NA,NA
"S000140","O01",2025-04-20,"10:58","SR",43.57073,-116.22987,"Asterfall Reedlark","ARLK","Wild Hatch","None",0,NA,46.5,"Adult",3,"M",2,NA,NA
"S000141","O08",2025-04-28,"09:41","WC",43.62048,-116.19076,"Asterfall Reedlark","ARLK","Reintroduced","Silver",1,"B45917",28.5,"Adult",3,"M",2,2024,"H2023_R2024"
"S000142","O11",2025-07-16,"08:17","NP",43.66832,-116.14058,"Asterfall Reedlark","ARLK","Wild Hatch","None",0,NA,14.1,"Unknown",99,"M",2,NA,NA
"S000143","O01",2025-07-06,"08:12","WC",43.62456,-116.19593,"Red-winged Blackbird","RWBL","Wild Hatch","None",0,NA,58.3,"Adult",3,"M",2,NA,NA
"S000144","O09",2025-06-28,"06:39","LC",43.57673,-116.19157,"Song Sparrow","SOSP","Wild Hatch","None",0,NA,19.7,"Adult",3,"M",2,NA,NA
"S000145","O07",2025-06-03,"07:02","SR",43.56253,-116.2133,"Asterfall Reedlark","ARLK","Wild Hatch","None",0,NA,102.6,"Second-year",2,"M",2,NA,NA
"S000146","O08",2025-04-12,"06:16","MR",43.64969,-116.23673,"Red-winged Blackbird","RWBL","Wild Hatch","None",0,NA,119,"Hatch-year",1,"F",1,NA,NA
"S000147","O08",2025-05-14,"10:42","BR",43.60558,-116.20828,"Song Sparrow","SOSP","Wild Hatch","None",0,NA,17.3,"Hatch-year",1,"F",1,NA,NA
"S000148","O03",2025-07-17,"09:12","NP",43.65648,-116.16611,"Song Sparrow","SOSP","Wild Hatch","None",0,NA,47.2,"Unknown",99,NA,NA,NA,NA
"S000149","O08",2025-04-09,"09:18","BR",43.60594,-116.2148,"Asterfall Reedlark","ARLK","Wild Hatch","None",0,NA,115.8,"Second-year",2,"M",2,NA,NA
"S000150","O06",2025-05-12,"09:40","LC",43.5824,-116.19716,"Asterfall Reedlark","ARLK","Wild Hatch","None",0,NA,69.6,"Hatch-year",1,"M",2,NA,NA
"S000151","O02",2025-06-18,"07:18","BR",43.61612,-116.21766,"Asterfall Reedlark","ARLK","Wild Hatch","None",0,NA,63.4,"Adult",3,"F",1,NA,NA
"S000152","O12",2025-04-02,"10:08","BR",43.61771,-116.20331,"Asterfall Reedlark","ARLK","Wild Hatch","None",0,NA,111.4,"Second-year",2,"F",1,NA,NA
"S000153","O04",2025-05-21,"10:39","BR",43.61693,-116.22191,"Asterfall Reedlark","ARLK","Wild Hatch","None",0,NA,16.3,"Hatch-year",1,NA,NA,NA,NA
"S000154","O12",2025-04-21,"05:00","LC",43.58892,-116.17893,"Asterfall Reedlark","ARLK","Wild Hatch","None",0,NA,49.9,"Second-year",2,"F",1,NA,NA
